id	lemma	context	index	label
d001.s001.t002	group	U.N. group draft plan to reduce emission	1	['group%1:03:00::']
d001.s001.t003	plan	U.N. group draft plan to reduce emission	3	['plan%1:09:00::']
d001.s001.t004	emission	U.N. group draft plan to reduce emission	6	['emission%1:27:00::']
d001.s002.t001	climate	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	2	['climate%1:26:00::']
d001.s002.t002	conference	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	3	['conference%1:14:00::']
d001.s002.t003	posturing	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	10	['posturing%1:07:00::']
d001.s002.t004	recrimination	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	13	['recrimination%1:10:00::']
d001.s002.t005	focus	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	17	['focus%1:09:00::']
d001.s002.t006	Friday	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	18	['friday%1:28:00::']
d001.s002.t007	release	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	21	['release%1:22:00::']
d001.s002.t008	document	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	24	['document%1:10:00::']
d001.s002.t010	reduction	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	28	['reduction%1:04:00::']
d001.s002.t011	year	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	33	['year%1:28:01::']
d001.s002.t013	burden	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	41	['burden%1:09:01::']
d001.s002.t014	term	the U.N.-sponsored climate conference -- characterize so far by unruly posturing and mutual recrimination -- gain renewed focus Friday with the release of a document outline ambitious greenhouse-gas reduction over the next @card@ year , with industrialized_nation shoulder most of the burden in the near term .	45	['term%1:28:00::']
d001.s003.t001	text	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	1	['text%1:10:01::', 'text%1:10:00::']
d001.s003.t002	basis	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	7	['basis%1:09:00::']
d001.s003.t003	deal	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	12	['deal%1:10:00::']
d001.s003.t004	greenhouse_gas	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	15	['greenhouse_gas%1:27:00::']
d001.s003.t005	obstacle	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	20	['obstacle%1:09:00::']
d001.s003.t006	path	the text , which could provide the basis for a final political deal to regulate greenhouse_gas , highlight the remain obstacle as much as it illuminate a path forward .	27	['path%1:04:00::']
d001.s004.t001	advance	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	7	['advance%1:11:01::']
d001.s004.t002	negotiation	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	10	['negotiation%1:10:00::']
d001.s004.t003	time	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	16	['time%1:28:05::']
d001.s004.t004	world	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	22	['world%1:05:00::', 'world%1:17:00::']
d001.s004.t005	leader	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	23	['leader%1:18:00::']
d001.s004.t006	Copenhagen	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	26	['copenhagen%1:15:00::']
d001.s004.t007	week	but it be see as an important advance in a negotiation that be run out of time , with more than @card@ world leader arrive in Copenhagen next week .	28	['week%1:28:02::']
d001.s005.t002	working_group	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	5	['working_group%1:14:00::']
d001.s005.t003	text	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	8	['text%1:10:01::', 'text%1:10:00::']
d001.s005.t004	money	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	14	['money%1:21:00::']
d001.s005.t005	country	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	16	['country%1:14:00::']
d001.s005.t006	one	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	20	['one%1:09:00::']
d001.s005.t007	global_warming	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	24	['global_warming%1:22:00::']
d001.s005.t008	term	forge by a U.N. ad-hoc working_group , the text be silent on how much money rich country would give poor one to cope with global_warming over the short and long term .	30	['term%1:28:00::']
d001.s006.t001	range	and it provide a range of option for the key question , include how developed and major emerging_economy would cut their carbon_output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	4	['range%1:07:00::']
d001.s006.t002	option	and it provide a range of option for the key question , include how developed and major emerging_economy would cut their carbon_output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	6	['option%1:09:00::']
d001.s006.t003	question	and it provide a range of option for the key question , include how developed and major emerging_economy would cut their carbon_output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	10	['question%1:10:01::']
d001.s006.t006	upper_limit	and it provide a range of option for the key question , include how developed and major emerging_economy would cut their carbon_output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	28	['upper_limit%1:23:00::']
d001.s006.t007	temperature	and it provide a range of option for the key question , include how developed and major emerging_economy would cut their carbon_output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	31	['temperature%1:07:00::']
d001.s006.t008	rise	and it provide a range of option for the key question , include how developed and major emerging_economy would cut their carbon_output , and what would be the upper_limit of global temperature rise that policymaker would be willing to tolerate .	32	['rise%1:11:00::']
d001.s007.t001	lot	it give a lot of flexibility to the process , say John Coequyt , senior Washington representative for the sierra_club .	3	['lot%1:23:00::']
d001.s007.t002	flexibility	it give a lot of flexibility to the process , say John Coequyt , senior Washington representative for the sierra_club .	5	['flexibility%1:07:01::']
d001.s007.t003	process	it give a lot of flexibility to the process , say John Coequyt , senior Washington representative for the sierra_club .	8	['process%1:04:00::']
d001.s007.t004	Washington	it give a lot of flexibility to the process , say John Coequyt , senior Washington representative for the sierra_club .	15	['washington%1:14:00::']
d001.s007.t005	representative	it give a lot of flexibility to the process , say John Coequyt , senior Washington representative for the sierra_club .	16	['representative%1:18:02::']
d001.s008.t001	document	michael zammit Cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the U.N. 's top climate official , yvo_de_boer , describe as `` the big picture . ''	8	['document%1:10:00::']
d001.s008.t002	negotiation	michael zammit Cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the U.N. 's top climate official , yvo_de_boer , describe as `` the big picture . ''	14	['negotiation%1:10:00::']
d001.s008.t003	text	michael zammit Cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the U.N. 's top climate official , yvo_de_boer , describe as `` the big picture . ''	15	['text%1:10:01::', 'text%1:10:00::']
d001.s008.t005	climate	michael zammit Cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the U.N. 's top climate official , yvo_de_boer , describe as `` the big picture . ''	24	['climate%1:26:00::']
d001.s008.t006	official	michael zammit Cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the U.N. 's top climate official , yvo_de_boer , describe as `` the big picture . ''	25	['official%1:18:01::']
d001.s008.t008	picture	michael zammit Cutajar , who draft the six-page document , boil down a 180-page negotiation text to focus on what the U.N. 's top climate official , yvo_de_boer , describe as `` the big picture . ''	34	['picture%1:26:00::']
d001.s009.t001	outline	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	3	['outline%1:09:00::']
d001.s009.t002	deal	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	7	['deal%1:10:00::']
d001.s009.t004	emission	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	16	['emission%1:27:00::']
d001.s009.t005	percent	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	23	['percent%1:24:00::']
d001.s009.t006	level	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	27	['level%1:26:00::']
d001.s009.t007	developing_country	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	31	['developing_country%1:14:00::']
d001.s009.t008	period	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	38	['period%1:28:00::']
d001.s009.t009	percent	it show the outline for a possible deal , in which industrial_nation would collectively cut their emission by @card@ by @card@ to @card@ percent compare with @card@ level , while major developing_country would reduce theirs during the same period by @card@ to @card@ percent .	43	['percent%1:24:00::']
d001.s010.t001	country	together , the country would cut emission between @card@ and @card@ percent by @card@ .	3	['country%1:14:00::']
d001.s010.t002	emission	together , the country would cut emission between @card@ and @card@ percent by @card@ .	6	['emission%1:27:00::']
d001.s010.t003	percent	together , the country would cut emission between @card@ and @card@ percent by @card@ .	11	['percent%1:24:00::']
d001.s011.t001	european_union	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	1	['european_union%1:14:00::']
d001.s011.t002	talk	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	4	['talk%1:10:00::']
d001.s011.t003	boost	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	6	['boost%1:04:01::']
d001.s011.t004	Friday	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	10	['friday%1:28:00::']
d001.s011.t005	year	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	19	['year%1:28:01::']
d001.s011.t006	year	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	24	['year%1:28:01::']
d001.s011.t007	country	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	28	['country%1:14:00::']
d001.s011.t008	impact	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	32	['impact%1:19:00::']
d001.s011.t009	climate_change	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	34	['climate_change%1:22:00::']
d001.s011.t010	flood	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	39	['flood%1:19:00::']
d001.s011.t011	drought	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	41	['drought%1:26:00::']
d001.s011.t012	deforestation	the european_union give the talk a boost as well on Friday by pledge to provide $ @card@ billion a year over the next three year to help poor country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	44	['deforestation%1:26:00::', 'deforestation%1:04:00::']
d001.s012.t001	Friday	still , Friday feature the same sort of verbal firework that have dominate the talk for the past week .	2	['friday%1:28:00::']
